problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap,cost_error
DUAL1,clarabel,default,0.0065682019921951,True,3.3306690738754696e-16,4.289510824289494e-15,5.484308888970002e-09,2.689138099698507e-09
DUAL1,clarabel,high_accuracy,0.007451710000168532,True,6.661338147750939e-16,3.4172791007515413e-12,2.491968853490789e-10,1.1846231634526916e-10
DUAL1,clarabel,low_accuracy,0.006473465997260064,True,6.661338147750939e-16,2.7300210703185e-15,1.8639194656125402e-05,5.77168480252882e-06
DUAL1,cvxopt,default,0.011313230002997443,True,0.0,1.7420569744532282e-15,5.489789303703141e-09,2.8791791312210435e-09
DUAL1,cvxopt,high_accuracy,0.009819280996453017,True,0.0,1.7420569744532282e-15,5.489789303703141e-09,2.8791791312210435e-09
DUAL1,cvxopt,low_accuracy,0.015368839012808166,True,0.0,1.7420569744532282e-15,5.489789303703141e-09,2.8791791312210435e-09
DUAL1,daqp,default,0.0005578440031968057,True,1.2323475573339238e-14,4.8433479449272454e-15,2.914335439641036e-16,2.6653125539954914e-10
DUAL1,daqp,high_accuracy,0.0009150389960268512,True,1.2323475573339238e-14,4.8433479449272454e-15,2.914335439641036e-16,2.6653125539954914e-10
DUAL1,daqp,low_accuracy,0.0004956529883202165,True,0.0005833811530557839,3.2890357104520263e-15,9.020562075079397e-17,2.18979584421658e-06
DUAL1,ecos,default,0.022148422998725437,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07,2.37405865799456e-10
DUAL1,ecos,high_accuracy,0.021876553000765853,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07,2.37405865799456e-10
DUAL1,ecos,low_accuracy,0.019531893005478196,True,9.736655925962623e-14,6.0626033182825776e-06,1.0762487090421047e-07,2.37405865799456e-10
DUAL1,gurobi,default,0.04496156699315179,True,8.404388296412435e-12,8.055489748165501e-08,3.4709823973355647e-09,2.5589092580990958e-09
DUAL1,gurobi,high_accuracy,0.010795843991218135,True,8.404388296412435e-12,8.055489748165501e-08,3.4709823973355647e-09,2.5589092580990958e-09
DUAL1,gurobi,low_accuracy,0.012163933002739213,True,8.404388296412435e-12,8.055489748165501e-08,3.4709823973355647e-09,2.5589092580990958e-09
DUAL1,highs,default,0.04010905700852163,True,4.440892098500626e-16,7.664321323430645e-09,3.743247767307167e-09,2.6653090151596004e-10
DUAL1,highs,high_accuracy,0.03988451800250914,True,4.440892098500626e-16,7.664321323430645e-09,3.743247767307167e-09,2.6653090151596004e-10
DUAL1,highs,low_accuracy,0.03977905500505585,True,4.440892098500626e-16,7.664321323430645e-09,3.743247767307167e-09,2.6653090151596004e-10
DUAL1,osqp,default,0.0025938309991033748,True,2.4229337812632906e-05,2.7583335912573226e-07,2.8053949784957464e-06,2.911420691122102e-06
DUAL1,osqp,high_accuracy,0.005807715991977602,True,1.669450209715794e-10,1.2431500273635265e-11,1.710553210293521e-11,2.8516306677106584e-10
DUAL1,osqp,low_accuracy,0.0024059779971139506,True,2.494884218824924e-09,1.173576164650858e-07,6.908460027603518e-08,9.598009886868653e-12
DUAL1,proxqp,default,0.0011002310056937858,True,4.524781293074986e-06,1.986578436106133e-08,0.00358161858131305,2.458328623236583e-07
DUAL1,proxqp,high_accuracy,0.001224819992785342,True,4.4873776249441824e-11,6.521866380282404e-14,5.71374891844556e-12,2.7224725945851347e-10
DUAL1,proxqp,low_accuracy,0.0007100149960024282,True,9.339673333216584e-05,1.4065402222165901e-06,0.5335077830481931,0.0009788374995269786
DUAL1,qpoases,default,0.012627069998416118,True,1.1102230246251565e-16,2.1788126858268697e-15,1.3877787807814457e-17,2.6653088763817223e-10
DUAL1,qpoases,high_accuracy,0.02913773199543357,True,2.220446049250313e-16,1.85268467234323e-15,1.734723475976807e-16,2.6653076273808196e-10
DUAL1,qpoases,low_accuracy,0.0026503450062591583,True,4.440892098500626e-16,5.995204332975845e-15,3.726186026398182e-15,2.6652843820862415e-10
